district,party,chamber,name,2018_score,lifetime_score
AL,R,2,"Shelby, Richard",7,13
AL,D,2,"Jones, Doug",79,79
HI,D,2,"Hirono, Mazie",100,95
HI,D,2,"Schatz, Brian",100,97
MO,D,2,"McCaskill, Claire",79,75
MO,R,2,"Blunt, Roy",7,5
TN,R,2,"Corker, Bob",7,10
TN,R,2,"Alexander, Lamar",7,20
LA,R,2,"Cassidy, Bill",7,7
LA,R,2,"Kennedy, John",7,3
PA,R,2,"Toomey, Pat",0,5
PA,D,2,"Casey, Bob",93,92
MI,D,2,"Stabenow, Debbie",100,89
MI,D,2,"Peters, Gary",100,93
NV,R,2,"Heller, Dean",7,11
NV,D,2,"Cortez Masto, Catherine",100,94
NJ,D,2,"Booker, Cory",100,99
NJ,D,2,"Menendez, Robert",100,95
OH,R,2,"Portman, Rob",7,19
OH,D,2,"Brown, Sherrod",100,94
NH,D,2,"Shaheen, Jeanne",93,96
NH,D,2,"Hassan, Margaret",100,100
MN,D,2,"Klobuchar, Amy",100,96
MN,D,2,"Smith, Tina",100,100
WI,D,2,"Baldwin, Tammy",100,97
WI,R,2,"Johnson, Ron",0,3
AZ,R,2,"Kyl, Jon",0,8
AZ,R,2,"Flake, Jeff",7,8
WY,R,2,"Barrasso, John",7,8
WY,R,2,"Enzi, Michael",7,5
GA,R,2,"Perdue, David",7,1
GA,R,2,"Isakson, Johnny",7,9
MD,D,2,"Cardin, Benjamin",100,92
MD,D,2,"Van Hollen, Chris",100,98
TX,R,2,"Cruz, Ted",14,4
TX,R,2,"Cornyn, John",7,5
MT,R,2,"Daines, Steve",14,4
MT,D,2,"Tester, Jon",93,86
AK,R,2,"Sullivan, Dan",7,7
AK,R,2,"Murkowski, Lisa",14,17
CO,R,2,"Gardner, Cory",7,10
CO,D,2,"Bennet, Michael",100,90
ND,R,2,"Hoeven, John",7,8
ND,D,2,"Heitkamp, Heidi",50,52
IL,D,2,"Duckworth, Tammy",86,89
IL,D,2,"Durbin, Dick",100,88
NM,D,2,"Udall, Tom",100,96
NM,D,2,"Heinrich, Martin",93,94
UT,R,2,"Lee, Mike",7,8
UT,R,2,"Hatch, Orrin",7,9
OR,D,2,"Wyden, Ron",100,91
OR,D,2,"Merkley, Jeff",100,99
CT,D,2,"Murphy, Chris",100,96
CT,D,2,"Blumenthal, Richard",100,97
AR,R,2,"Cotton, Tom",0,2
AR,R,2,"Boozman, John",7,7
OK,R,2,"Inhofe, James",14,5
OK,R,2,"Lankford, James",7,5
IA,R,2,"Grassley, Chuck",0,18
IA,R,2,"Ernst, Joni",7,1
MA,D,2,"Markey, Ed",100,94
MA,D,2,"Warren, Elizabeth",100,99
IN,D,2,"Donnelly, Joe",71,60
IN,R,2,"Young, Todd",7,3
NC,R,2,"Tillis, Thom",7,7
NC,R,2,"Burr, Richard",14,8
VA,D,2,"Warner, Mark",100,87
VA,D,2,"Kaine, Timothy",100,95
WA,D,2,"Murray, Patty",100,91
WA,D,2,"Cantwell, Maria",100,92
WV,R,2,"Capito, Shelley Moore",7,17
WV,D,2,"Manchin III, Joe",43,45
DE,D,2,"Carper, Tom",100,83
DE,D,2,"Coons, Chris",100,93
